단어	품사	뜻	발음기호	예문1	예문1 해석	예문2	예문2 해석	메모
plank	noun	널빤지, 두꺼운 판자	/plæŋk/	He placed a plank across the gap.	그는 틈 위에 널빤지를 놓았다.	The floor was made of wooden planks.	바닥은 나무 판자로 만들어졌다.	긴 나무판
bossy	adjective	우두머리 행세를 하는, 지시하기 좋아하는	/ˈbɔːsi/	She can be bossy sometimes.	그녀는 가끔 지시하려 드는 편이다.	Don’t be so bossy.	그렇게 이래라저래라 하지 마.	부정적 성격 묘사
huffy	adjective	화를 잘 내는, 성마른	/ˈhʌfi/	He got huffy when I disagreed.	내가 반대하자 그는 발끈했다.	She answered in a huffy voice.	그녀는 화난 목소리로 대답했다.	삐치거나 화난 느낌
puffy	adjective	부은, 푹신한	/ˈpʌfi/	His eyes were puffy from crying.	그의 눈은 울어서 부어 있었다.	She wore a puffy jacket.	그녀는 푹신한 패딩 재킷을 입었다.	부음/푹신함
huffy-puffy	adjective	화가 난, 숨을 헐떡이는	/ˌhʌfi ˈpʌfi/	He became huffy-puffy after the argument.	그는 말다툼 후에 화가 났다.	The child was huffy-puffy after running.	그 아이는 달린 뒤 숨을 헐떡였다.	비격식 표현
headache	noun	두통, 골칫거리	/ˈhedeɪk/	I have a terrible headache.	나는 심한 두통이 있다.	This paperwork is a real headache.	이 서류 작업은 정말 골칫거리다.	몸 증상/문제
wharf	noun	부두, 선창	/wɔːrf/	The boat arrived at the wharf.	배가 부두에 도착했다.	Workers unloaded boxes at the wharf.	노동자들이 부두에서 상자를 내렸다.	배가 드나드는 곳
screw	noun	나사	/skruː/	I need a screw to fix this chair.	이 의자를 고치려면 나사가 필요하다.	The screw fell out of the door.	문에서 나사가 빠졌다.	도구/부품
screw	verb	망치다, 조이다	/skruː/	He screwed the lid on tightly.	그는 뚜껑을 단단히 조였다.	Don’t screw up this chance.	이 기회를 망치지 마라.	screw up은 망치다
smuggler	noun	밀수업자	/ˈsmʌɡlər/	The smuggler was caught at the border.	그 밀수업자는 국경에서 잡혔다.	Police arrested a drug smuggler.	경찰은 마약 밀수업자를 체포했다.	smuggle의 사람 명사
take one's chances	phrase	위험을 무릅쓰다, 운에 맡기다	/teɪk wʌnz ˈtʃænsɪz/	We decided to take our chances and continue.	우리는 위험을 감수하고 계속하기로 했다.	He took his chances with the old car.	그는 그 낡은 차를 운에 맡기고 타기로 했다.	보통 chances 복수
go screw	phrase	꺼져, 집어치워	/ɡoʊ skruː/	He told them to go screw themselves.	그는 그들에게 꺼지라고 말했다.	Don’t say “go screw” in a formal situation.	공식적인 상황에서 “go screw”라고 말하지 마라.	거친 속어
squirm	verb	꿈틀거리다, 몸부림치다	/skwɜːrm/	The child squirmed in his seat.	그 아이는 자리에서 꿈틀거렸다.	He squirmed when asked a difficult question.	그는 어려운 질문을 받자 안절부절못했다.	몸/심리적 불편
owe	verb	빚지고 있다, ~해야 한다	/oʊ/	I owe you ten dollars.	나는 너에게 10달러를 빚지고 있다.	We owe our success to hard work.	우리는 성공을 노력 덕분으로 돌린다.	owe A B / owe A to B
a couple of days	phrase	이틀 정도, 며칠	/ə ˈkʌpl əv deɪz/	I’ll be back in a couple of days.	나는 며칠 뒤에 돌아올 것이다.	It took a couple of days to finish.	그것을 끝내는 데 이틀 정도 걸렸다.	정확히 2일 또는 며칠 느낌
scapegoat	noun	희생양	/ˈskeɪpɡoʊt/	They made him a scapegoat for the failure.	그들은 실패의 책임을 그에게 떠넘겨 희생양으로 만들었다.	The manager became the scapegoat.	그 관리자는 희생양이 되었다.	책임 전가 대상
rile	verb	화나게 하다, 짜증나게 하다	/raɪl/	His rude comment riled her.	그의 무례한 말이 그녀를 화나게 했다.	Don’t let him rile you.	그가 너를 화나게 하도록 두지 마라.	rile up도 자주 사용
action	noun	행동, 조치	/ˈækʃn/	We need action, not words.	우리는 말이 아니라 행동이 필요하다.	The company took action immediately.	그 회사는 즉시 조치를 취했다.	take action
riddance	noun	없어져서 속 시원함, 제거	/ˈrɪdns/	Good riddance to that old car.	그 낡은 차가 없어져서 속 시원하다.	His departure was a welcome riddance.	그가 떠난 것은 반가운 제거였다.	good riddance 표현
be bound to do	phrase	반드시 ~하다, ~할 수밖에 없다	/bi baʊnd tuː duː/	He is bound to succeed.	그는 반드시 성공할 것이다.	Mistakes are bound to happen.	실수는 일어날 수밖에 없다.	강한 가능성
run on	phrasal verb	계속되다, ~으로 작동하다	/rʌn ɑːn/	The meeting ran on for hours.	회의는 몇 시간 동안 계속되었다.	This machine runs on electricity.	이 기계는 전기로 작동한다.	시간/동력
running on fumes	idiom	기력이 거의 없는 상태로 버티다	/ˈrʌnɪŋ ɑːn fjuːmz/	After working all night, I was running on fumes.	밤새 일한 후 나는 거의 기진맥진한 상태였다.	The team is running on fumes after the long season.	그 팀은 긴 시즌 후 거의 힘이 빠진 상태다.	연료가 거의 없는 차에서 온 표현
in effect	phrase	효력 있는, 사실상	/ɪn ɪˈfekt/	The new rule is now in effect.	새 규칙은 이제 효력이 있다.	The change was, in effect, a tax increase.	그 변화는 사실상 세금 인상이었다.	법/규칙/사실상 의미
prosecute	verb	기소하다, 공소를 제기하다	/ˈprɑːsɪkjuːt/	The state decided to prosecute the suspect.	주 정부는 그 용의자를 기소하기로 했다.	He was prosecuted for fraud.	그는 사기 혐의로 기소되었다.	법률 단어
smuggle	verb	밀수하다, 몰래 들여오다	/ˈsmʌɡl/	They tried to smuggle drugs across the border.	그들은 국경을 넘어 마약을 밀수하려 했다.	He smuggled food into the theater.	그는 극장 안으로 음식을 몰래 들여왔다.	불법/몰래 반입
capital	noun	수도	/ˈkæpɪtl/	Seoul is the capital of South Korea.	서울은 한국의 수도이다.	We visited the capital last summer.	우리는 지난여름 수도를 방문했다.	도시 의미
capital	noun	자본, 자금	/ˈkæpɪtl/	The company needs more capital.	그 회사는 더 많은 자본이 필요하다.	They raised capital for the new business.	그들은 새 사업을 위해 자금을 모았다.	경제/사업 의미
capable	adjective	유능한, ~할 수 있는	/ˈkeɪpəbl/	She is a capable leader.	그녀는 유능한 지도자이다.	This machine is capable of processing large files.	이 기계는 큰 파일을 처리할 수 있다.	be capable of
hand off	phrasal verb	넘겨주다, 인계하다	/hænd ɔːf/	She handed off the project to her coworker.	그녀는 그 프로젝트를 동료에게 인계했다.	The runner handed off the baton.	주자가 바통을 넘겨주었다.	일/물건을 넘김
speaking of which	phrase	말이 나온 김에, 그런데	/ˈspiːkɪŋ əv wɪtʃ/	Speaking of which, did you finish the report?	말이 나온 김에, 보고서는 끝냈어?	Speaking of which, I need to call him.	그런데 말이야, 나 그에게 전화해야 해.	대화 전환 표현
patch up	phrasal verb	대충 고치다, 관계를 회복하다	/pætʃ ʌp/	They patched up the broken wall.	그들은 부서진 벽을 임시로 고쳤다.	The two friends patched up their relationship.	두 친구는 관계를 회복했다.	수리/화해 둘 다
militia	noun	민병대, 의용군	/məˈlɪʃə/	The militia guarded the village.	민병대가 그 마을을 지켰다.	A local militia was formed during the crisis.	위기 동안 지역 민병대가 조직되었다.	정규군이 아닌 무장 조직
harbor	verb	숨겨 주다, 품다	/ˈhɑːrbər/	They were accused of harboring a criminal.	그들은 범죄자를 숨겨 준 혐의를 받았다.	She harbored doubts about the plan.	그녀는 그 계획에 의심을 품고 있었다.	사람을 숨김/감정을 품음
harbor	noun	항구, 피난처	/ˈhɑːrbər/	The ship entered the harbor.	배가 항구로 들어왔다.	The small island served as a safe harbor.	그 작은 섬은 안전한 피난처 역할을 했다.	미국식 철자 harbor
wanted	adjective	수배 중인	/ˈwɑːntɪd/	He is wanted by the police.	그는 경찰에 수배 중이다.	The wanted man was arrested yesterday.	그 수배자는 어제 체포되었다.	범죄자 관련
mumble	verb	중얼거리다	/ˈmʌmbl/	He mumbled something under his breath.	그는 낮은 목소리로 무언가 중얼거렸다.	Don’t mumble when you speak.	말할 때 중얼거리지 마라.	작고 불분명하게 말함
beggar	noun	거지, 구걸하는 사람	/ˈbeɡər/	A beggar sat near the station.	거지가 역 근처에 앉아 있었다.	She gave some food to a beggar.	그녀는 거지에게 음식을 조금 주었다.	beg의 사람 명사
big wig	noun	중요 인물, 거물	/ˈbɪɡ wɪɡ/	Several big wigs attended the meeting.	몇몇 중요 인물들이 그 회의에 참석했다.	He acts like a big wig in the office.	그는 사무실에서 거물처럼 행동한다.	비격식 표현
on your knees	phrase	무릎을 꿇고	/ɑːn jʊr niːz/	He fell on his knees and begged for help.	그는 무릎을 꿇고 도움을 빌었다.	The child was on his knees looking for the toy.	그 아이는 장난감을 찾으려고 무릎을 꿇고 있었다.	물리적 자세/간청
worth one's while	phrase	~할 가치가 있는	/wɜːrθ wʌnz waɪl/	This book is worth your while.	이 책은 네 시간을 들일 가치가 있다.	It may be worth your while to call him.	그에게 전화해 보는 것이 가치 있을지도 모른다.	worthwhile과 비슷
casualty	noun	사상자, 피해자	/ˈkæʒuəlti/	The accident caused several casualties.	그 사고는 여러 명의 사상자를 냈다.	Civilians were among the casualties.	민간인들도 피해자에 포함되었다.	전쟁/사고에서 자주 사용
sprint	noun	짧은 거리 전력 질주	/sprɪnt/	He won the 100-meter sprint.	그는 100미터 단거리 경주에서 이겼다.	The final sprint was very close.	마지막 단거리 질주는 매우 접전이었다.	단거리 달리기
sprint	verb	전력 질주하다	/sprɪnt/	She sprinted to catch the bus.	그녀는 버스를 잡으려고 전력 질주했다.	The players sprinted across the field.	선수들이 경기장을 가로질러 전력 질주했다.	빠르게 달리다
trench	noun	도랑, 참호	/trentʃ/	The soldiers hid in the trench.	군인들은 참호에 숨었다.	Workers dug a trench beside the road.	인부들이 도로 옆에 도랑을 팠다.	군사/공사 둘 다
so far so good	phrase	여태까지는 괜찮다	/soʊ fɑːr soʊ ɡʊd/	How is the project going? So far so good.	프로젝트는 어떻게 되고 있어? 여태까지는 괜찮아.	So far so good, but we still have work to do.	지금까지는 괜찮지만 아직 할 일이 남아 있다.	진행 상황 말할 때
take something out of something	phrase	~에서 ~을 꺼내다	/teɪk ˈsʌmθɪŋ aʊt əv ˈsʌmθɪŋ/	She took the keys out of her bag.	그녀는 가방에서 열쇠를 꺼냈다.	Take the cake out of the oven.	케이크를 오븐에서 꺼내라.	물건을 꺼냄
sergeant	noun	병장, 하사관	/ˈsɑːrdʒənt/	The sergeant gave the soldiers an order.	병장이 군인들에게 명령을 내렸다.	He was promoted to sergeant.	그는 병장으로 진급했다.	군 계급
break off	phrasal verb	분리되다, 떨어져 나가다	/breɪk ɔːf/	A piece of the handle broke off.	손잡이의 한 조각이 떨어져 나갔다.	The branch broke off in the storm.	폭풍 속에서 나뭇가지가 부러져 떨어졌다.	물리적으로 떨어짐
break off	phrasal verb	중단하다, 관계를 끊다	/breɪk ɔːf/	They broke off the negotiations.	그들은 협상을 중단했다.	She broke off the engagement.	그녀는 약혼을 파기했다.	관계/협상 중단
pursuit	noun	뒤쫓음, 추적	/pərˈsuːt/	The police were in pursuit of the thief.	경찰은 도둑을 추격하고 있었다.	The pursuit continued for several hours.	추격은 몇 시간 동안 계속되었다.	in pursuit of
pursuit	noun	추구, 추구하는 일	/pərˈsuːt/	He moved to Seoul in pursuit of a better job.	그는 더 좋은 직장을 찾아 서울로 이사했다.	Her pursuit of success was intense.	그녀의 성공 추구는 강렬했다.	목표를 추구함
acknowledge	verb	인정하다	/əkˈnɑːlɪdʒ/	He acknowledged his mistake.	그는 자신의 실수를 인정했다.	The company acknowledged the problem.	그 회사는 그 문제를 인정했다.	공식적 표현
acknowledge	verb	받았음을 알리다, 확인하다	/əkˈnɑːlɪdʒ/	Please acknowledge receipt of this message.	이 메시지를 받았음을 알려 주세요.	She acknowledged my email with a short reply.	그녀는 짧은 답장으로 내 이메일을 받았음을 알렸다.	메일/문서에서 자주 사용
quarantine	noun	격리	/ˈkwɔːrəntiːn/	The patient was placed in quarantine.	그 환자는 격리되었다.	The animals stayed in quarantine for two weeks.	그 동물들은 2주 동안 격리 상태에 있었다.	질병/검역
quarantine	verb	격리하다	/ˈkwɔːrəntiːn/	The hospital quarantined the infected patients.	병원은 감염된 환자들을 격리했다.	Travelers were quarantined after arrival.	여행자들은 도착 후 격리되었다.	동사로도 사용
cut through	phrasal verb	~을 뚫고 나아가다, 가로질러 가다	/kʌt θruː/	We cut through the park to save time.	우리는 시간을 아끼려고 공원을 가로질러 갔다.	The knife cut through the rope.	칼이 밧줄을 잘랐다.	공간/물체를 통과
downtown	noun	시내, 도심	/ˌdaʊnˈtaʊn/	We went downtown for dinner.	우리는 저녁을 먹으러 시내에 갔다.	His office is downtown.	그의 사무실은 도심에 있다.	도시 중심부
wasteland	noun	황무지, 불모지	/ˈweɪstlænd/	The area became a wasteland after the fire.	그 지역은 화재 후 황무지가 되었다.	Nothing grew in the dry wasteland.	그 건조한 황무지에는 아무것도 자라지 않았다.	쓸모없는 땅
apart	adverb	떨어져, 따로	/əˈpɑːrt/	The two houses are far apart.	두 집은 멀리 떨어져 있다.	They live apart from each other.	그들은 서로 떨어져 산다.	거리/분리
apart	adverb	산산이, 조각조각	/əˈpɑːrt/	The old book fell apart.	그 낡은 책은 산산이 해어졌다.	He took the engine apart.	그는 엔진을 분해했다.	fall apart/take apart
stairwell	noun	계단통, 계단 공간	/ˈsterwel/	Smoke filled the stairwell.	연기가 계단통을 가득 채웠다.	Use the stairwell during a fire.	화재 때는 계단통을 이용하세요.	건물 내부 계단 공간
take it easy	phrase	쉬엄쉬엄하다, 진정하다	/teɪk ɪt ˈiːzi/	Take it easy and get some rest.	무리하지 말고 좀 쉬어라.	You should take it easy after the surgery.	수술 후에는 쉬엄쉬엄해야 한다.	휴식/진정
brush-off	noun	냉대, 무시, 거절	/ˈbrʌʃ ɔːf/	She gave him the brush-off.	그녀는 그를 냉대했다.	His suggestion got a quick brush-off.	그의 제안은 곧바로 거절당했다.	give/get the brush-off
drop-off point	noun phrase	하차 지점, 물건을 내려놓는 장소	/ˈdrɑːp ɔːf pɔɪnt/	The bus drop-off point is near the gate.	버스 하차 지점은 정문 근처에 있다.	Leave the package at the drop-off point.	소포를 지정된 반납 장소에 두세요.	사람/물건 내려놓는 곳
rear	noun	뒤쪽, 후방	/rɪr/	The parking lot is at the rear of the building.	주차장은 건물 뒤쪽에 있다.	He sat in the rear of the bus.	그는 버스 뒤쪽에 앉았다.	front의 반대
take point	phrase	앞장서다, 지휘를 맡다	/teɪk pɔɪnt/	You take point, and I’ll follow.	네가 앞장서고 나는 따라갈게.	She took point on the new project.	그녀가 새 프로젝트를 주도했다.	군사/업무에서 사용
on someone's heels	phrase	~의 바로 뒤를 따라	/ɑːn ˈsʌmwʌnz hiːlz/	The police were on his heels.	경찰이 그의 바로 뒤까지 따라왔다.	Another runner was right on her heels.	다른 주자가 그녀를 바짝 뒤쫓고 있었다.	추격/경쟁
boarding school	noun	기숙학교	/ˈbɔːrdɪŋ skuːl/	He went to a boarding school in England.	그는 영국의 기숙학교에 다녔다.	The boarding school has students from many countries.	그 기숙학교에는 여러 나라 학생들이 있다.	학생이 학교에서 생활
sneak out	phrasal verb	몰래 나가다	/sniːk aʊt/	She sneaked out of the house at night.	그녀는 밤에 집에서 몰래 나갔다.	The children tried to sneak out after dinner.	아이들은 저녁 식사 후 몰래 나가려고 했다.	몰래 빠져나감
run into	phrasal verb	우연히 만나다	/rʌn ˈɪntuː/	I ran into an old friend yesterday.	나는 어제 옛 친구를 우연히 만났다.	She ran into her teacher at the mall.	그녀는 쇼핑몰에서 선생님을 우연히 만났다.	사람을 우연히 만남
run into	phrasal verb	문제에 부딪히다, 겪다	/rʌn ˈɪntuː/	We ran into a problem during the test.	우리는 테스트 중에 문제에 부딪혔다.	The company ran into financial trouble.	그 회사는 재정 문제를 겪었다.	문제/어려움
mall	noun	쇼핑몰, 쇼핑센터	/mɔːl/	We went to the mall on Saturday.	우리는 토요일에 쇼핑몰에 갔다.	The mall was crowded during the sale.	세일 기간에 쇼핑몰은 붐볐다.	미국식 쇼핑센터
off-limit	adjective	출입 금지의, 금지된	/ˌɔːf ˈlɪmɪt/	This area is off-limit to visitors.	이 구역은 방문객 출입 금지이다.	The topic was off-limit during the interview.	그 주제는 인터뷰 중 금지된 주제였다.	보통 off-limits 형태도 자주 씀
afterward	adverb	후에, 나중에	/ˈæftərwərd/	We had dinner and went home afterward.	우리는 저녁을 먹고 그 후 집에 갔다.	She apologized afterward.	그녀는 나중에 사과했다.	afterwards도 가능
winded	adjective	숨이 찬	/ˈwɪndɪd/	I was winded after climbing the stairs.	나는 계단을 오른 뒤 숨이 찼다.	He sounded winded after the run.	그는 달리기 후 숨이 찬 것처럼 들렸다.	out of breath
define	verb	정의하다, 분명히 밝히다	/dɪˈfaɪn/	Can you define this word?	이 단어를 정의할 수 있니?	The rules clearly define your role.	그 규칙은 너의 역할을 명확히 규정한다.	뜻/범위 설정
panicky	adjective	겁에 질린, 당황한	/ˈpænɪki/	She became panicky when she lost her phone.	그녀는 휴대폰을 잃어버리자 당황했다.	A panicky crowd rushed to the exit.	겁에 질린 군중이 출구로 몰려갔다.	panic의 형용사
pick it up	phrase	속도를 높이다, 서두르다	/pɪk ɪt ʌp/	We need to pick it up if we want to arrive on time.	제시간에 도착하려면 속도를 높여야 한다.	Pick it up! We’re late.	서둘러! 우리 늦었어.	구어체
right around the corner	phrase	아주 가까이에, 곧 다가오는	/raɪt əˈraʊnd ðə ˈkɔːrnər/	The store is right around the corner.	그 가게는 바로 모퉁이 근처에 있다.	Final exams are right around the corner.	기말고사가 곧 다가온다.	장소/시간 모두 가능
rendezvous	noun	만남 약속, 만날 장소	/ˈrɑːndeɪvuː/	We arranged a rendezvous at noon.	우리는 정오에 만남을 약속했다.	The café was our rendezvous point.	그 카페는 우리의 만남 장소였다.	프랑스어 유래, z 발음 안 함
presence	noun	존재, 참석	/ˈprezns/	His presence made everyone nervous.	그의 존재는 모두를 긴장하게 만들었다.	Your presence is required at the meeting.	회의에 당신의 참석이 필요합니다.	존재감/참석
safe house	noun	은신처, 안전가옥	/seɪf haʊs/	The witness stayed in a safe house.	그 증인은 안전가옥에 머물렀다.	The agents used a safe house outside the city.	요원들은 도시 밖의 은신처를 이용했다.	범죄/첩보 맥락
the home stretch	noun phrase	마지막 단계, 막바지	/ðə hoʊm stretʃ/	We are in the home stretch of the project.	우리는 프로젝트의 막바지에 있다.	The runner sped up in the home stretch.	그 주자는 마지막 구간에서 속도를 냈다.	경주에서 온 표현
just so	adverb phrase	꼭 맞게, 완전한 상태로	/dʒʌst soʊ/	Everything must be arranged just so.	모든 것은 꼭 맞게 정리되어야 한다.	She likes her desk just so.	그녀는 책상이 딱 맞게 정돈되어 있는 것을 좋아한다.	깔끔하게 맞춘 느낌
shallow	adjective	얕은	/ˈʃæloʊ/	The water is shallow near the shore.	해안 근처의 물은 얕다.	He dug a shallow hole.	그는 얕은 구멍을 팠다.	깊지 않음
shallow	adjective	피상적인, 얄팍한	/ˈʃæloʊ/	His explanation was shallow.	그의 설명은 피상적이었다.	She criticized the movie for its shallow characters.	그녀는 그 영화의 인물들이 얄팍하다고 비판했다.	생각/분석이 깊지 않음
shitty	adjective	엉망인, 형편없는	/ˈʃɪti/	I had a shitty day.	나는 엉망인 하루를 보냈다.	The service was shitty.	서비스가 형편없었다.	욕설에 가까운 비격식 표현
crusade	noun	운동, 캠페인	/kruːˈseɪd/	She led a crusade against corruption.	그녀는 부패에 반대하는 운동을 이끌었다.	The group started a crusade for animal rights.	그 단체는 동물권을 위한 운동을 시작했다.	강한 신념의 운동
crusade	verb	운동을 벌이다	/kruːˈseɪd/	They crusaded for social reform.	그들은 사회 개혁을 위해 운동을 벌였다.	He crusaded against smoking.	그는 흡연 반대 운동을 했다.	crusade for/against
obligation	noun	의무	/ˌɑːblɪˈɡeɪʃn/	You have an obligation to tell the truth.	너는 진실을 말할 의무가 있다.	The company failed to meet its legal obligations.	그 회사는 법적 의무를 이행하지 못했다.	법적/도덕적 의무
buy time	phrase	시간을 벌다	/baɪ taɪm/	He asked a question to buy time.	그는 시간을 벌기 위해 질문을 했다.	The delay helped us buy time.	그 지연은 우리가 시간을 버는 데 도움이 되었다.	결정/위기 전에 시간 확보
push forward	phrasal verb	계속 나아가다, 추진하다	/pʊʃ ˈfɔːrwərd/	We must push forward despite the difficulties.	우리는 어려움에도 계속 나아가야 한다.	The company pushed forward with the plan.	그 회사는 그 계획을 계속 추진했다.	진행/추진
bunch	noun	다발, 무리, 많은 양	/bʌntʃ/	She bought a bunch of flowers.	그녀는 꽃 한 다발을 샀다.	A bunch of people were waiting outside.	많은 사람들이 밖에서 기다리고 있었다.	a bunch of
reinforcement	noun	강화, 보강	/ˌriːɪnˈfɔːrsmənt/	The bridge needs reinforcement.	그 다리는 보강이 필요하다.	The teacher used praise as reinforcement.	선생님은 칭찬을 강화 수단으로 사용했다.	구조/행동 강화
reinforcement	noun	지원 병력, 증원군	/ˌriːɪnˈfɔːrsmənt/	The soldiers waited for reinforcements.	군인들은 증원군을 기다렸다.	Reinforcements arrived at dawn.	증원군이 새벽에 도착했다.	복수형 reinforcements 자주 사용
indispensable	adjective	필수적인, 없어서는 안 되는	/ˌɪndɪˈspensəbl/	Water is indispensable to life.	물은 생명에 필수적이다.	She is indispensable to our team.	그녀는 우리 팀에 없어서는 안 될 사람이다.	indispensable to
parallelepiped	noun	평행육면체	/ˌpærəˌleləˈpaɪped/	A cube is a special kind of parallelepiped.	정육면체는 평행육면체의 특별한 종류이다.	The volume of a parallelepiped can be calculated from its base and height.	평행육면체의 부피는 밑면과 높이로 계산할 수 있다.	수학/기하학 용어
manager	noun	관리자, 매니저, 부서장	/ˈmænɪdʒər/	The manager approved my request.	관리자가 내 요청을 승인했다.	She works as a sales manager.	그녀는 영업 매니저로 일한다.	회사 직책
branch	noun	지점, 가지	/bræntʃ/	The bank opened a new branch.	그 은행은 새 지점을 열었다.	A branch fell from the tree.	나무에서 가지 하나가 떨어졌다.	회사 지점/나뭇가지
praise	verb	칭찬하다	/preɪz/	The teacher praised the student.	선생님은 그 학생을 칭찬했다.	He praised her hard work.	그는 그녀의 노력을 칭찬했다.	동사
praise	noun	칭찬, 찬사	/preɪz/	She received praise for her work.	그녀는 자신의 일로 칭찬을 받았다.	The movie won high praise from critics.	그 영화는 비평가들에게 높은 찬사를 받았다.	명사로도 자주 사용
administrator	noun	관리자, 행정 담당자	/ədˈmɪnɪstreɪtər/	The administrator manages the school records.	관리자는 학교 기록을 관리한다.	Contact the system administrator.	시스템 관리자에게 연락하세요.	행정/시스템 관리자
agreement	noun	계약, 합의	/əˈɡriːmənt/	They signed an agreement yesterday.	그들은 어제 계약서에 서명했다.	We reached an agreement after long talks.	우리는 긴 대화 끝에 합의에 도달했다.	계약/합의
president	noun	사장, 대통령, 회장	/ˈprezɪdənt/	The president of the company resigned.	그 회사의 사장이 사임했다.	The president gave a speech.	대통령이 연설을 했다.	회사/국가 모두 가능
launch	verb	시작하다, 출시하다	/lɔːntʃ/	The company launched a new product.	그 회사는 신제품을 출시했다.	They launched a campaign last week.	그들은 지난주 캠페인을 시작했다.	제품/일 시작
launch	noun	출시, 시작	/lɔːntʃ/	The product launch was successful.	그 제품 출시는 성공적이었다.	We prepared for the launch of the website.	우리는 웹사이트 출시를 준비했다.	명사로도 사용
delivery	noun	배달, 배송	/dɪˈlɪvəri/	The delivery arrived late.	배송이 늦게 도착했다.	Free delivery is available for large orders.	대량 주문에는 무료 배송이 가능하다.	물건 배송
delivery	noun	전달, 발표 방식	/dɪˈlɪvəri/	Her speech delivery was clear.	그녀의 연설 전달 방식은 명확했다.	The actor’s delivery was natural.	그 배우의 대사 전달은 자연스러웠다.	말 전달 방식
advantageous	adjective	유리한	/ˌædvənˈteɪdʒəs/	The deal was advantageous to both companies.	그 거래는 두 회사 모두에게 유리했다.	A good location is advantageous for business.	좋은 위치는 사업에 유리하다.	advantage의 형용사
accountant	noun	회계사	/əˈkaʊntənt/	The accountant prepared the tax report.	회계사가 세금 보고서를 준비했다.	She works as an accountant.	그녀는 회계사로 일한다.	회계 직업
board	noun	이사회, 위원회	/bɔːrd/	The board approved the budget.	이사회가 예산을 승인했다.	She sits on the board of directors.	그녀는 이사회에 속해 있다.	회사 조직
executive	noun	임원, 경영진	/ɪɡˈzekjətɪv/	Several executives attended the conference.	여러 임원들이 그 회의에 참석했다.	She became a senior executive.	그녀는 고위 임원이 되었다.	회사 고위직
executive	adjective	경영의, 행정의	/ɪɡˈzekjətɪv/	The executive team made the decision.	경영진이 결정을 내렸다.	He has executive authority.	그는 행정 권한을 가지고 있다.	형용사도 사용
production	noun	생산, 생산량	/prəˈdʌkʃn/	Production increased last year.	작년에 생산량이 증가했다.	The factory stopped production.	그 공장은 생산을 중단했다.	제조/생산
reliable	adjective	믿을 만한, 신뢰할 수 있는	/rɪˈlaɪəbl/	She is a reliable worker.	그녀는 믿을 만한 직원이다.	This car is reliable and safe.	이 차는 믿을 만하고 안전하다.	사람/물건 모두 가능
examination	noun	검사, 시험	/ɪɡˌzæmɪˈneɪʃn/	The doctor gave him a medical examination.	의사가 그에게 건강 검진을 했다.	The final examination is next week.	기말시험은 다음 주이다.	의학/학교 모두
estate market	noun phrase	부동산 시장	/ɪˈsteɪt ˈmɑːrkɪt/	The estate market is slowing down.	부동산 시장이 둔화되고 있다.	Prices in the estate market are rising.	부동산 시장의 가격이 오르고 있다.	보통 real estate market이 더 자연스러움
competitive	adjective	경쟁의, 경쟁력 있는	/kəmˈpetətɪv/	The industry is highly competitive.	그 산업은 경쟁이 매우 치열하다.	We offer competitive prices.	우리는 경쟁력 있는 가격을 제공한다.	시장/가격/사람
spacious	adjective	넓은, 널찍한	/ˈspeɪʃəs/	The apartment is spacious and bright.	그 아파트는 넓고 밝다.	We need a spacious room for the meeting.	우리는 회의를 위해 넓은 방이 필요하다.	공간이 넓음
enterprise	noun	기업, 사업	/ˈentərpraɪz/	The enterprise grew quickly.	그 기업은 빠르게 성장했다.	He started a small enterprise.	그는 작은 사업을 시작했다.	회사/사업체
transferable	adjective	양도할 수 있는, 이전 가능한	/trænsˈfɜːrəbl/	The ticket is not transferable.	그 표는 양도할 수 없다.	These skills are transferable to other jobs.	이 기술들은 다른 직업으로 이전 가능하다.	권리/기술
invest	verb	투자하다	/ɪnˈvest/	She invested money in stocks.	그녀는 주식에 돈을 투자했다.	The company invested in new technology.	그 회사는 신기술에 투자했다.	invest in
a second opinion	noun phrase	다른 사람의 의견, 제2의 소견	/ə ˈsekənd əˈpɪnjən/	You should get a second opinion from another doctor.	다른 의사에게 제2의 소견을 받아야 한다.	I asked for a second opinion before making the decision.	나는 결정하기 전에 다른 의견을 구했다.	의료/결정
business	noun	회사, 사업	/ˈbɪznəs/	She runs a small business.	그녀는 작은 회사를 운영한다.	Business is growing fast.	사업이 빠르게 성장하고 있다.	회사/사업 활동
state government	noun phrase	주 정부	/steɪt ˈɡʌvərnmənt/	The state government passed a new law.	주 정부는 새 법을 통과시켰다.	State government officials visited the city.	주 정부 관계자들이 그 도시를 방문했다.	미국 주 단위 정부
finance	noun	자금, 금융	/ˈfaɪnæns/	The project needs more finance.	그 프로젝트는 더 많은 자금이 필요하다.	She studied finance in college.	그녀는 대학에서 금융을 공부했다.	돈 관리/자금
finance	verb	자금을 조달하다	/ˈfaɪnæns/	The bank financed the project.	은행이 그 프로젝트에 자금을 지원했다.	They financed the business with a loan.	그들은 대출로 사업 자금을 마련했다.	동사로도 사용
renovate	verb	개조하다, 보수하다	/ˈrenəveɪt/	They renovated the old house.	그들은 낡은 집을 개조했다.	The hotel was renovated last year.	그 호텔은 작년에 보수되었다.	건물 수리/개조
